,MAE,RMSE,MAPE,sMAPE,R2,num_parameters,training_time_seconds
BiLSTM (experiment),66.39154251766274,91.86067688474449,5.716332377124359,5.59847692207808,0.7524575133605947,47128,1109.4
LSTM,67.42262438218985,93.76762669559268,5.773967504668753,5.65469946598041,0.7420732922848885,23576,15091.6
Stacked LSTM,69.65576197774337,97.95924721817785,5.974574480290204,5.831754046016125,0.7184980906425293,56856,1480.2
GRU,71.90509986000302,97.20509569978887,6.156141076055723,6.052414933450456,0.7228157616784869,18072,675.6
Transformer,73.77266826742938,103.44833472481274,6.35630448519236,6.1368359016345435,0.6860666353952469,36376,1358.5
Simple RNN,76.72217469917109,102.87106096048383,6.573378843448424,6.45643177075811,0.6895605504670375,7064,202.2
Univariate LSTM,79.75889631180218,106.02803623522703,6.864089441490391,6.684010120125448,0.6702142374431005,20248,409.8
Attention-LSTM,86.76991752000143,112.72188666727624,7.3567807792619275,7.257780439875641,0.6272591725350285,27800,1334.7
Linear Regression,92.6028062600483,117.55615183031193,7.920299034299069,7.806543169949691,0.5950621759598956,—,—
Moving Average,132.92239379882812,165.12034606933594,11.152240633964539,10.994116961956024,0.20108836889266968,—,—
Naive,165.8332977294922,213.03768920898438,13.862836360931396,13.6790931224823,-0.3298739194869995,—,—
