horizon_step,MAE,RMSE
1,61.657020425296956,84.0087172749701
2,66.44995356221013,90.42054620030561
3,69.30662571165584,95.38798305820258
4,68.52224704741784,93.40367675794492
5,70.50850766276278,96.42828663861542
6,72.60274340411259,100.79362389737994
7,73.97074901504023,101.5407972855284
8,73.79283680093897,101.50973649358855
9,73.43954066398386,100.11154996487055
10,71.19353402291412,96.23267593974118
11,70.72534734299842,96.65973132105977
12,75.47807213160087,100.17380909108346
13,75.13154526928982,97.90847722845521
14,70.45611645518275,93.3735102448959
15,72.61740727313668,96.22785456810851
16,71.09855788186775,94.00327916618346
17,68.83239442083627,91.76368211588395
18,68.42336466466578,90.84492344296851
19,68.17327412716743,91.91352796809147
20,73.32129434248604,98.56361177231602
21,71.72705881604627,96.09262193413943
22,73.68042007630807,99.52125680371329
23,71.73837068841424,96.08916031538985
24,78.89421024673064,104.70576623375267
