feature,baseline_mse,permuted_mse,importance
hour_sin,0.0060264356434345245,0.012762290115157763,0.006735854471723238
hour_cos,0.0060264356434345245,0.011013565274576346,0.004987129631141821
dow_cos,0.0060264356434345245,0.009213277759651342,0.003186842116216818
dow_sin,0.0060264356434345245,0.008834760946532091,0.0028083253030975665
rolling_mean_24,0.0060264356434345245,0.007913277174035708,0.001886841530601183
is_weekend,0.0060264356434345245,0.007796823978424072,0.0017703883349895477
rolling_mean_168,0.0060264356434345245,0.007747664426763852,0.0017212287833293276
holiday,0.0060264356434345245,0.0070186650070051355,0.000992229363570611
lag_1,0.0060264356434345245,0.007006892468780279,0.0009804568253457546
lag_48,0.0060264356434345245,0.006230247983088096,0.00020381233965357116
precip_avg,0.0060264356434345245,0.006189940807720025,0.00016350516428550056
temp_avg,0.0060264356434345245,0.0061732678053279715,0.00014683216189344695
lag_168,0.0060264356434345245,0.006102909489224355,7.647384578983018e-05
humidity_avg,0.0060264356434345245,0.006033305544406176,6.869900971651077e-06
wind_avg,0.0060264356434345245,0.0060142142077287035,-1.2221435705821009e-05
month_sin,0.0060264356434345245,0.006007361846665542,-1.9073796768982916e-05
month_cos,0.0060264356434345245,0.0059886725308994455,-3.776311253507903e-05
lag_24,0.0060264356434345245,0.005953645178427299,-7.279046500722596e-05
school,0.0060264356434345245,0.005943565163761377,-8.28704796731472e-05
rolling_std_24,0.0060264356434345245,0.005751066530744235,-0.0002753691126902895
